흑,백,덤,결과,대국일자,대국명,제한시간,초읽기 횟수,초읽기 시간,대국룰,흑번국가,백번국가
朴廷桓,申眞諝,6.5,B+R,2026-03-17,第27回マキシムコーヒー杯入神最強戦準決勝,3600.0,,,japanese,kr,kr
井山裕太,朴廷桓,6.5,B+R,2026-02-02,第27回農心辛ラーメン杯世界囲碁最強戦第10戦,3600.0,1,60,Japanese,jp,kr
黄雲嵩,朴廷桓,7.5,W+R,2024-10-27,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
朴珉奎,卞相壹,6.5,W+R,2024-03-27,第5期ソパルコサノル最高棋士決定戦リーグ,3600.0,,,japanese,kr,kr
卞相壹,陶欣然,7.5,B+R,2024-03-25,第25回中国囲碁甲級リーグ優勝決定戦第2戦,7200.0,5,60,chinese,kr,ch
卞相壹,韓友賑,6.5,B+R,2024-03-23,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,金昇珍,6.5,B+R,2024-03-23,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,党毅飛,7.5,B+R,2024-03-21,第15回春蘭杯世界囲碁選手権2回戦,8700.0,5,60,chinese,kr,ch
卞相壹,連笑,7.5,B+R,2024-03-17,第25回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
卞相壹,李志賢,6.5,B+R,2024-03-15,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,李昌錫,6.5,B+R,2024-03-12,第5期ソパルコサノル最高棋士決定戦リーグ,3600.0,,,japanese,kr,kr
安成浚,卞相壹,6.5,W+R,2024-03-11,第25回マキシムコーヒー杯入神最強戦3回戦,600.0,,,japanese,kr,kr
卞相壹,党毅飛,6.5,W+R,2024-03-08,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,ch
卞相壹,朴廷桓,6.5,W+R,2024-10-24,第47期名人戦（韓国）勝者組決勝,3600.0,,,japanese,kr,kr
卞相壹,檀嘯,7.5,W+¼,2024-03-07,第25回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
卞相壹,童夢成,7.5,B+R,2024-03-05,第25回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
申眞諝,卞相壹,6.5,W+R,2024-02-29,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,金庭賢,6.5,W+R,2024-02-27,第5期ソパルコサノル最高棋士決定戦リーグ,3600.0,,,japanese,kr,kr
崔哲瀚,卞相壹,6.5,W+R,2024-02-24,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,朴永訓,6.5,B+R,2024-02-20,第25回マキシムコーヒー杯入神最強戦2回戦,600.0,,,japanese,kr,kr
卞相壹,柁嘉熹,7.5,B+R,2024-02-17,第25回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
申旻埈,卞相壹,6.5,B+R,2024-02-08,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,古霊益,7.5,B+R,2024-02-03,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,朴鍵昊,6.5,W+R,2024-02-01,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
朴廷桓,偰玹準,7.5,B+R,2024-10-18,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
金明訓,卞相壹,6.5,W+R,2024-02-01,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
申眞諝,卞相壹,6.5,B+R,2024-01-31,第28回LG杯朝鮮日報棋王戦決勝三番勝負第2局,10800.0,5,40,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2024-01-29,第28回LG杯朝鮮日報棋王戦決勝三番勝負第1局,10800.0,5,40,japanese,kr,kr
元晟溱,卞相壹,6.5,W+1.5,2024-01-26,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,戎毅,7.5,B+R,2024-01-22,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
朴廷桓,卞相壹,6.5,B+R,2024-01-20,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,王世一,7.5,B+R,2024-01-16,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,党毅飛,6.5,B+R,2024-01-13,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,ch
何語涵,卞相壹,7.5,W+R,2024-01-10,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,tp,kr
卞相壹,申眞諝,6.5,W+R,2024-01-07,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
朴廷桓,童夢成,7.5,B+R,2024-10-09,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,朴ジンソル,6.5,B+R,2024-01-07,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
謝科,卞相壹,7.5,B+R,2024-01-05,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壹,韓昇周,6.5,B+R,2024-01-01,第25回マキシムコーヒー杯入神最強戦1回戦,600.0,,,japanese,kr,kr
安成浚,卞相壹,6.5,W+R,2023-12-29,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
安成浚,卞相壹,6.5,W+R,2023-12-29,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,屠暁宇,7.5,W+R,2023-12-21,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
申眞諝,卞相壹,6.5,B+R,2023-12-16,第46期名人戦（韓国）決勝三番勝負第2局,6000.0,3,60,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2023-12-15,第46期名人戦（韓国）決勝三番勝負第1局,6000.0,3,60,japanese,kr,kr
羋昱廷,卞相壹,6.5,W+R,2023-12-13,第28回LG杯朝鮮日報棋王戦準決勝,10800.0,5,40,japanese,ch,kr
卞相壹,王星昊,6.5,B+R,2023-12-11,第28回LG杯朝鮮日報棋王戦3回戦,10800.0,5,40,japanese,kr,ch
卞相壹,朴廷桓,6.5,B+R,2024-09-30,第29回LG杯朝鮮日報棋王戦3回戦,10800.0,5,40,japanese,kr,kr
卞相壹,劉宇航,7.5,B+R,2023-12-06,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,檀嘯,7.5,W+R,2023-11-28,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,偰玹準,6.5,W+R,2023-11-26,第2期韓国棋院選手権戦8強戦復活戦,5400.0,3,60,japanese,kr,kr
辜梓豪,卞相壹,6.5,B+0.5,2023-11-17,第28回三星火災杯世界囲碁マスターズ1回戦,7200.0,5,60,japanese,ch,kr
陳浩,卞相壹,7.5,W+R,2023-11-13,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
李元栄,卞相壹,6.5,W+3.5,2023-11-08,第2期韓国棋院選手権戦8強戦敗者戦,5400.0,3,60,japanese,kr,kr
卞相壹,李維清,7.5,B+R,2023-11-06,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,朴廷桓,6.5,B+R,2023-11-04,第46期名人戦（韓国）勝者組決勝,6000.0,3,60,japanese,kr,kr
卞相壹,金恩持,6.5,B+R,2023-10-26,第46期名人戦（韓国）3回戦,6000.0,3,60,japanese,kr,kr
偰玹準,卞相壹,6.5,B+R,2023-10-22,第2期韓国棋院選手権戦8強戦,5400.0,3,60,japanese,kr,kr
朴廷桓,李志賢,6.5,B+R,2024-09-22,第47期名人戦（韓国）3回戦,3600.0,,,japanese,kr,kr
謝爾豪,卞相壹,6.5,B+0.5,2023-10-19,第25回農心辛ラーメン杯世界囲碁最強戦第3戦,3600.0,1,60,japanese,ch,kr
陳賢,卞相壹,7.5,W+R,2023-10-10,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壹,陶欣然,7.5,B+R,2023-10-08,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,李欽誠,7.5,W+3¼,2023-10-03,第19回アジア競技大会囲碁男子団体戦決勝,3600.0,3,30,chinese,kr,ch
関航太郎,卞相壹,7.5,W+R,2023-10-02,第19回アジア競技大会囲碁男子団体戦準決勝,3600.0,3,30,chinese,jp,kr
趙晨宇,卞相壹,7.5,B+R,2023-09-30,第19回アジア競技大会囲碁男子団体戦予選第4戦,3600.0,3,30,chinese,ch,kr
関航太郎,卞相壹,7.5,W+R,2023-09-30,第19回アジア競技大会囲碁男子団体戦予選第3戦,7200.0,3,30,chinese,jp,kr
許皓鋐,卞相壹,7.5,W+R,2023-09-29,第19回アジア競技大会囲碁男子団体戦予選第1戦,3600.0,3,30,chinese,tp,kr
卞相壹,朴鐘勲,6.5,B+R,2023-09-21,第46期名人戦（韓国）2回戦,6000.0,3,60,japanese,kr,kr
羅玄,卞相壹,6.5,W+R,2023-08-31,第46期名人戦（韓国）1回戦,6000.0,3,60,japanese,kr,kr
朴廷桓,李軒豪,7.5,B+R,2024-09-19,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,安成浚,6.5,B+R,2023-08-26,第2期韓国棋院選手権戦16強戦勝者戦,5400.0,3,60,japanese,kr,kr
元齊焄,卞相壹,6.5,W+R,2023-08-21,第46期名人戦（韓国）予選,6000.0,3,60,japanese,kr,kr
卞相壹,陳賢,7.5,W+R,2023-08-04,第5回夢百合杯世界囲碁オープン戦2回戦,7200.0,5,60,chinese,kr,ch
卞相壹,厳歓,7.5,B+R,2023-08-03,第5回夢百合杯世界囲碁オープン戦1回戦,7200.0,5,60,chinese,kr,ch
崔精,卞相壹,6.5,W+R,2023-07-31,第28回GSカルテックス杯プロ棋戦決勝五番勝負第3局,600.0,3,40,japanese,kr,kr
卞相壹,申旻埈,6.5,W+R,2023-07-27,第9回国手山脈世界プロ最強戦準決勝,1800.0,3,40,japanese,kr,kr
范廷鈺,卞相壹,6.5,W+R,2023-07-26,第9回国手山脈世界プロ最強戦2回戦,1800.0,3,40,japanese,ch,kr
黄雲嵩,卞相壹,6.5,W+R,2023-07-26,第9回国手山脈世界プロ最強戦1回戦,1800.0,3,40,japanese,ch,kr
卞相壹,崔精,6.5,B+R,2023-07-24,第28回GSカルテックス杯プロ棋戦決勝五番勝負第2局,600.0,3,40,japanese,kr,kr
崔精,卞相壹,6.5,W+1.5,2023-07-23,第28回GSカルテックス杯プロ棋戦決勝五番勝負第1局,600.0,3,40,japanese,kr,kr
朴廷桓,崔精,6.5,B+R,2024-09-10,第47期名人戦（韓国）2回戦,3600.0,,,japanese,kr,kr
李軒豪,卞相壹,7.5,W+R,2023-07-19,第14回春蘭杯世界囲碁選手権決勝三番勝負第2局,8700.0,5,60,chinese,ch,kr
卞相壹,李軒豪,7.5,B+R,2023-07-17,第14回春蘭杯世界囲碁選手権決勝三番勝負第1局,8700.0,5,60,chinese,kr,ch
安成浚,卞相壹,6.5,B+R,2023-07-12,第25回農心杯韓国予選,3600.0,1,60,japanese,kr,kr
卞相壹,金志錫,6.5,B+1.5,2023-06-30,第28回GSカルテックス杯プロ棋戦準決勝,600.0,3,40,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2023-06-25,2022-2023韓国囲碁リーグ優勝決定戦第2戦,2400.0,,,japanese,kr,kr
韓友賑,卞相壹,6.5,B+R,2023-06-19,第5回安東白岩杯囲碁オープン最強戦2回戦,600.0,,,japanese,kr,kr
卞相壹,姜東潤,6.5,W+0.5,2023-06-14,第6期韓国竜星戦1回戦,1800.0,,,japanese,kr,kr
朴廷桓,卞相壹,6.5,B+R,2023-06-08,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
卞相壹,金眞輝,6.5,B+R,2023-06-07,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
朴鐘勲,卞相壹,6.5,W+R,2023-06-04,2022-2023韓国囲碁リーグプレーオフ,2400.0,,,japanese,kr,kr
朴廷桓,王楚軒,7.5,B+¾,2024-09-03,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
元晟溱,卞相壹,6.5,W+R,2023-06-02,第28回GSカルテックス杯プロ棋戦3回戦,600.0,3,40,japanese,kr,kr
卞相壹,余正麒,6.5,B+R,2023-05-31,第28回LG杯朝鮮日報棋王戦2回戦,10800.0,5,40,japanese,kr,kr
安成浚,卞相壹,6.5,W+R,2023-05-25,第28回GSカルテックス杯プロ棋戦2回戦,600.0,3,40,japanese,kr,kr
卞相壹,姜東潤,6.5,B+R,2023-05-24,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
卞相壹,元晟溱,6.5,B+R,2023-05-22,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
卞相壹,朴廷桓,6.5,W+R,2023-05-15,第4期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
崔精,卞相壹,6.5,W+R,2023-05-11,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
卞相壹,申旻埈,6.5,B+R,2023-05-11,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
王星昊,卞相壹,7.5,B+R,2023-05-06,第1回衢州爛柯杯ワールド囲碁オープン2回戦,7200.0,5,60,chinese,ch,kr
唐韋星,卞相壹,7.5,W+R,2023-05-05,第1回衢州爛柯杯ワールド囲碁オープン1回戦,7200.0,5,60,chinese,ch,kr
申眞諝,朴廷桓,6.5,B+R,2024-08-29,第5期ソパルコサノル最高棋士決定戦挑戦手合五番勝負第3局,7200.0,3,60,japanese,kr,kr
卞相壹,李昌鎬,6.5,B+R,2023-05-01,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
卞相壹,沈載益,6.5,B+R,2023-04-23,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
偰玹準,卞相壹,6.5,W+R,2023-04-19,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
卞相壹,崔精,6.5,B+R,2023-04-18,第4期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
朴鍵昊,卞相壹,6.5,B+R,2023-04-13,第4期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
金丞求,卞相壹,6.5,W+R,2023-04-11,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
陳祈睿,卞相壹,6.5,W+R,2023-04-09,2022-2023韓国囲碁リーグ,2400.0,,,japanese,tp,kr
卞相壹,許皓鋐,6.5,B+T,2023-04-09,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,tp
卞相壹,朴廷桓,6.5,B+R,2023-04-06,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
朴廷桓,卞相壹,6.5,B+R,2023-04-06,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
羅玄,朴廷桓,6.5,B+R,2026-01-24,2025-2026韓国囲碁リーグ,60.0,,,Japanese,kr,kr
朴廷桓,申眞諝,6.5,W+R,2024-08-27,第5期ソパルコサノル最高棋士決定戦挑戦手合五番勝負第2局,7200.0,3,60,japanese,kr,kr
卞相壹,朴珉奎,6.5,B+R,2023-04-05,第4期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
申旻埈,卞相壹,6.5,B+R,2023-04-04,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
卞相壹,李昌錫,6.5,B+R,2023-03-29,第4期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2023-03-27,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
李志賢,卞相壹,6.5,W+R,2023-03-22,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
申旻埈,卞相壹,6.5,W+1.5,2023-03-16,第4期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
朴廷桓,卞相壹,6.5,B+R,2023-03-13,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
大西竜平,卞相壹,6.5,W+R,2023-03-10,2022-2023韓国囲碁リーグ,2400.0,,,japanese,jp,kr
元晟溱,卞相壹,6.5,B+R,2023-03-09,第4期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
申眞諝,卞相壹,6.5,B+R,2023-03-07,第24回マキシムコーヒー杯入神最強戦3回戦,600.0,5,40,japanese,kr,kr
申眞諝,朴廷桓,6.5,B+R,2024-08-26,第5期ソパルコサノル最高棋士決定戦挑戦手合五番勝負第1局,7200.0,3,60,japanese,kr,kr
朴鍵昊,卞相壹,6.5,B+R,2023-03-04,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
申旻埈,卞相壹,6.5,B+R,2023-03-01,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
朴ジンソル,卞相壹,6.5,W+R,2023-02-28,第4期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
卞相壹,宋知勲,6.5,B+R,2023-02-27,第2期韓国棋院選手権戦グループリーグ勝者戦,5400.0,3,60,japanese,kr,kr
朴鍵昊,卞相壹,6.5,W+R,2023-02-25,2023YK建機杯予選,600.0,,,japanese,kr,kr
卞相壹,辜梓豪,6.5,W+R,2023-02-23,第24回農心辛ラーメン杯世界囲碁最強戦第13戦,3600.0,1,60,japanese,kr,ch
卞相壹,姜儒澤,6.5,B+6.5,2023-02-21,第24回マキシムコーヒー杯入神最強戦2回戦,600.0,5,40,japanese,kr,kr
白現宇,卞相壹,6.5,W+R,2023-02-18,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
卞相壹,偰玹準,6.5,B+R,2023-02-16,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
卞相壹,金志錫,6.5,B+T,2023-02-16,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
朴廷桓,李昊潼,7.5,B+R,2024-08-16,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,金志錫,6.5,B+T,2023-02-16,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
卞相壹,劉兆哲,7.5,B+R,2023-02-15,第24回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
卞相壹,古霊益,7.5,B+3¾,2023-02-14,第24回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
卞相壹,胡子豪,7.5,B+R,2023-02-12,第24回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
范胤,卞相壹,7.5,B+R,2023-02-11,第24回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,ch,kr
江維傑,卞相壹,7.5,B+R,2023-02-10,第24回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,ch,kr
卞相壹,江維傑,7.5,B+R,2023-02-09,第24回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
朴炫洙,卞相壹,6.5,W+R,2023-02-08,2023YK建機杯予選,600.0,,,japanese,kr,kr
卞相壹,范胤,7.5,B+¾,2023-02-07,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,姜昇旼,6.5,W+R,2023-02-04,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
金炯佑,朴廷桓,6.5,W+R,2024-08-06,第47期名人戦（韓国）1回戦,3600.0,,,japanese,kr,kr
卞相壹,朴廷桓,6.5,B+3.5,2023-01-26,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
朴廷桓,卞相壹,6.5,B+R,2023-01-26,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
卞相壹,李志賢,6.5,W+R,2023-01-19,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
卞相壹,羅玄,6.5,B+R,2023-01-09,第24回マキシムコーヒー杯入神最強戦1回戦,600.0,5,40,japanese,kr,kr
唐韋星,卞相壹,7.5,W+R,2022-12-21,第14回春蘭杯世界囲碁選手権準決勝,8700.0,5,60,chinese,ch,kr
李維清,卞相壹,7.5,W+¼,2022-12-19,第14回春蘭杯世界囲碁選手権3回戦,8700.0,5,60,chinese,ch,kr
崔精,卞相壹,6.5,B+R,2022-11-04,第27回三星火災杯世界囲碁マスターズ準決勝,7200.0,5,60,japanese,kr,kr
李炯珍,卞相壹,6.5,W+R,2022-11-03,第27回三星火災杯世界囲碁マスターズ3回戦,7200.0,5,60,japanese,kr,kr
卞相壹,辜梓豪,6.5,B+R,2022-10-31,第27回三星火災杯世界囲碁マスターズ2回戦,7200.0,5,60,japanese,kr,ch
党毅飛,卞相壹,6.5,W+0.5,2022-10-28,第27回三星火災杯世界囲碁マスターズ1回戦,7200.0,5,60,japanese,ch,kr
芝野虎丸,朴廷桓,6.5,B+R,2024-08-03,第10回国手山脈世界プロ最強戦1回戦,1800.0,3,40,japanese,jp,kr
卞相壹,朴珉奎,7.5,B+1.5,2022-10-14,第1回衢州爛柯杯韓国予選,7200.0,5,60,japanese,kr,kr
辜梓豪,卞相壹,7.5,W+R,2022-09-18,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壹,童夢成,7.5,B+R,2022-09-11,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
陳耀燁,卞相壹,7.5,W+R,2022-09-09,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壹,唐韋星,7.5,B+2¾,2022-08-30,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,申眞諝,6.5,W+T,2022-08-15,第8回国手山脈世界プロ最強戦決勝,1800.0,3,40,japanese,kr,kr
元晟溱,卞相壹,6.5,W+R,2022-08-14,第8回国手山脈世界プロ最強戦準決勝,1800.0,3,40,japanese,kr,kr
申旻埈,卞相壹,6.5,W+R,2022-08-13,第8回国手山脈世界プロ最強戦2回戦,1800.0,3,40,japanese,kr,kr
丁浩,卞相壹,6.5,W+R,2022-08-13,第8回国手山脈世界プロ最強戦1回戦,1800.0,3,40,japanese,ch,kr
時越,卞相壹,7.5,W+R,2022-08-11,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
朴廷桓,卞相壹,6.5,B+R,2024-07-25,第5期ソパルコサノル最高棋士決定戦リーグ,7200.0,3,60,japanese,kr,kr
卞相壹,周睿羊,7.5,B+R,2022-08-10,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
党毅飛,卞相壹,7.5,B+R,2022-08-09,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壹,王星昊,7.5,W+R,2022-08-05,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
陳玉儂,卞相壹,7.5,W+R,2022-08-04,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
趙晨宇,卞相壹,7.5,W+R,2022-08-03,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
辜梓豪,卞相壹,7.5,W+R,2022-03-24,第14回春蘭杯世界囲碁選手権2回戦,8700.0,5,60,chinese,ch,kr
一力遼,卞相壹,7.5,W+R,2022-03-22,第14回春蘭杯世界囲碁選手権1回戦,8700.0,5,60,chinese,jp,kr
黄明宇,卞相壹,7.5,W+R,2021-09-30,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壹,王世一,7.5,B+R,2021-09-29,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,時越,7.5,B+1¾,2021-09-28,第23回中国囲碁甲級リーグ,60.0,5,60,chinese,kr,ch
李欽誠,朴廷桓,7.5,W+R,2024-07-23,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
柳琪峰,卞相壹,7.5,W+R,2021-09-26,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壹,伊淩涛,7.5,W+1¼,2021-06-11,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,檀嘯,7.5,B+¾,2021-06-09,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
陳玉儂,卞相壹,7.5,W+R,2021-06-08,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壹,李軒豪,7.5,W+R,2021-05-12,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
羋昱廷,卞相壹,7.5,W+R,2021-05-11,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
李欽誠,卞相壹,7.5,W+R,2021-05-10,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
党毅飛,卞相壹,7.5,W+R,2021-05-08,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
卞相壱,夏晨琨,7.5,B+2¾,2021-05-07,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
朴廷桓,趙晨宇,7.5,B+R,2021-05-12,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
沈載益,朴廷桓,6.5,B+R,2024-07-17,第26回農心杯韓国予選,3600.0,1,60,japanese,kr,kr
楊鼎新,朴廷桓,7.5,W+R,2021-06-07,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
朴廷桓,陳梓健,7.5,W+1¼,2021-06-08,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
柁嘉熹,朴廷桓,7.5,W+R,2021-06-09,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
朴廷桓,童夢成,7.5,W+R,2021-06-11,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
江維傑,朴廷桓,7.5,B+R,2021-06-12,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
丁浩,朴廷桓,7.5,W+R,2021-05-10,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
柯潔,朴廷桓,7.5,W+R,2021-05-08,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
李維清,朴廷桓,7.5,W+R,2021-05-07,第23回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
申眞諝,朴廷桓,6.5,W+R,2021-11-03,第26回三星火災杯世界囲碁マスターズ決勝三番勝負第3局,3600.0,5,60,japanese,kr,kr
朴廷桓,申眞諝,6.5,B+R,2021-11-02,第26回三星火災杯世界囲碁マスターズ決勝三番勝負第2局,3600.0,5,60,japanese,kr,kr
許嘉陽,朴廷桓,8.0,B+R,2024-07-03,第10回応氏杯世界選手権1回戦,7200.0,,,chinese,ch,kr
申眞諝,朴廷桓,6.5,B+R,2021-11-01,第26回三星火災杯世界囲碁マスターズ決勝三番勝負第1局,3600.0,5,60,japanese,kr,kr
趙晨宇,朴廷桓,6.5,W+R,2021-10-27,第26回三星火災杯世界囲碁マスターズ準決勝,3600.0,5,60,japanese,ch,kr
連笑,朴廷桓,6.5,W+2.5,2021-10-26,第26回三星火災杯世界囲碁マスターズ3回戦,7200.0,5,60,japanese,ch,kr
羋昱廷,朴廷桓,6.5,W+1.5,2021-10-22,第26回三星火災杯世界囲碁マスターズ2回戦,7200.0,5,60,japanese,ch,kr
李維清,朴廷桓,6.5,W+R,2021-10-21,第26回三星火災杯世界囲碁マスターズ1回戦,7200.0,5,60,japanese,ch,kr
丁浩,申眞諝,7.5,W+R,2022-01-20,第23回中国囲碁甲級リーグ優勝決定戦第2戦,7200.0,5,60,chinese,ch,kr
金禹丞,申眞諝,7.5,W+1¼,2022-01-19,第23回中国囲碁甲級リーグ優勝決定戦第1戦,7200.0,5,60,chinese,ch,kr
羋昱廷,申眞諝,7.5,W+R,2022-01-17,第23回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,ch,kr
